run,step,total,t,loss_gen,loss_critic,grad_norm,normalizer,gn_gen,depth,instantaneous_s_per_it
b64_main_pre_crash,690,3000,41840,0.3319,0.1182,916.9,0.260,0.03,5,66.2
b64_main_pre_crash,700,3000,42501,0.3219,0.1250,845.1,0.205,0.03,4,66.1
b64_main_pre_crash,710,3000,43165,0.3332,0.1252,925.8,0.241,0.03,6,66.4
b64_main_pre_crash,720,3000,43828,0.3258,0.1158,920.1,0.262,0.03,6,66.3
b64_main_pre_crash,730,3000,44491,0.3219,0.1262,806.3,0.210,0.04,5,66.3
b64_main_pre_crash,740,3000,45154,0.3299,0.1068,861.7,0.219,0.03,6,66.3
b64_main_pre_crash,750,3000,45817,0.3233,0.1134,886.4,0.253,0.03,6,66.3
b64_main_pre_crash,760,3000,46560,0.3216,0.1198,875.0,0.232,0.03,6,74.3
b64_main_pre_crash,770,3000,47268,0.3249,0.1118,828.3,0.188,0.03,4,70.8
b64_resume,760,3000,85492,0.3103,0.1183,808.5,0.161,0.03,4,
b64_resume,770,3000,86153,0.3198,0.1236,829.1,0.195,0.03,6,66.1
b64_resume,780,3000,86814,0.3237,0.1084,837.6,0.204,0.04,6,66.1
b64_resume,790,3000,87474,0.3175,0.1087,890.2,0.225,0.03,4,66.0
b64_resume,800,3000,88136,0.3039,0.1147,792.6,0.213,0.04,5,66.2
b64_resume,810,3000,88797,0.2927,0.1280,791.2,0.188,0.03,6,66.1
b64_resume,820,3000,89458,0.3043,0.1279,807.9,0.184,0.03,5,66.1
b64_resume,830,3000,90119,0.3051,0.1258,777.1,0.159,0.03,4,66.1
b64_resume,840,3000,90779,0.3207,0.1171,823.3,0.180,0.03,6,66.0
b64_resume,850,3000,91440,0.3026,0.1282,794.4,0.210,0.03,5,66.1
b64_resume,860,3000,92101,0.3273,0.1237,842.7,0.211,0.03,6,66.1
b64_resume,870,3000,92762,0.3490,0.1250,882.6,0.216,0.04,5,66.1
b64_resume,880,3000,93423,0.3402,0.1096,938.8,0.200,0.03,6,66.1
b64_resume,890,3000,94083,0.3308,0.1280,867.2,0.191,0.04,5,66.0
b64_resume,900,3000,94745,0.3310,0.1322,880.8,0.186,0.04,4,66.2
b64_resume,910,3000,95407,0.3094,0.1223,815.8,0.185,0.03,6,66.2
b64_resume,920,3000,96066,0.3119,0.1239,860.5,0.231,0.04,6,65.9
b64_resume,930,3000,96727,0.3099,0.1170,984.0,0.287,0.04,5,66.1
b64_resume,940,3000,97389,0.2976,0.1288,918.0,0.235,0.03,5,66.2
b64_resume,950,3000,98049,0.3180,0.1223,858.3,0.219,0.03,4,66.0
b64_resume,960,3000,98708,0.3230,0.1096,822.6,0.193,0.04,6,65.9
b64_resume,970,3000,99368,0.3312,0.1234,851.4,0.234,0.04,6,66.0
b64_resume,980,3000,100029,0.3287,0.1140,940.1,0.289,0.04,6,66.1
b64_resume,990,3000,100691,0.3200,0.1312,862.3,0.200,0.04,6,66.2
b64_resume,1000,3000,101353,0.3204,0.1289,851.0,0.215,0.03,6,66.2
b64_resume,1010,3000,102032,0.3197,0.1155,839.0,0.208,0.03,4,67.9
b64_resume,1020,3000,102694,0.3582,0.1081,872.6,0.200,0.04,4,66.2
b64_resume,1030,3000,103357,0.3192,0.1127,859.1,0.197,0.04,6,66.3
b64_resume,1040,3000,104019,0.3238,0.1076,768.2,0.162,0.03,6,66.2
b64_resume,1050,3000,104681,0.3400,0.1149,810.5,0.226,0.03,4,66.2
b64_resume,1060,3000,105342,0.3238,0.1221,860.9,0.190,0.04,6,66.1
b64_resume,1070,3000,106002,0.3237,0.1348,870.7,0.241,0.03,4,66.0
b64_resume,1080,3000,106664,0.3198,0.1314,800.7,0.193,0.03,4,66.2
b64_resume,1090,3000,107325,0.3060,0.1189,765.6,0.202,0.04,5,66.1
b64_resume,1100,3000,107984,0.3290,0.1136,861.7,0.255,0.03,5,65.9
b64_resume,1110,3000,108644,0.3237,0.1290,790.2,0.181,0.04,5,66.0
b64_resume,1120,3000,109306,0.3168,0.1183,782.0,0.147,0.03,6,66.2
b64_resume,1130,3000,109968,0.2980,0.1115,766.9,0.159,0.04,4,66.2
b64_resume,1140,3000,110629,0.3366,0.1163,821.3,0.226,0.04,4,66.1
b64_resume,1150,3000,111291,0.3117,0.1245,828.9,0.192,0.04,6,66.2
b64_resume,1160,3000,111956,0.3347,0.1200,834.7,0.200,0.04,5,66.5
b64_resume,1170,3000,112620,0.3556,0.1199,877.8,0.206,0.03,5,66.4
b64_resume,1180,3000,113282,0.3321,0.1254,809.4,0.187,0.04,5,66.2
b64_resume,1190,3000,113944,0.3128,0.1116,851.6,0.234,0.03,4,66.2
b64_resume,1200,3000,114609,0.3179,0.1213,818.7,0.248,0.03,5,66.5
b64_resume,1210,3000,115273,0.3200,0.1240,842.1,0.235,0.03,6,66.4
b64_resume,1220,3000,115937,0.3482,0.1197,868.6,0.270,0.04,6,66.4
b64_resume,1230,3000,116600,0.3372,0.1249,894.2,0.240,0.03,4,66.3
b64_resume,1240,3000,117263,0.3703,0.1422,832.7,0.219,0.04,6,66.3
b64_resume,1250,3000,117927,0.3413,0.1318,941.0,0.315,0.04,4,66.4
b64_resume,1260,3000,118608,0.3016,0.1210,849.0,0.254,0.04,5,68.1
b64_resume,1270,3000,119271,0.2763,0.1181,798.1,0.203,0.03,6,66.3
b64_resume,1280,3000,119933,0.3118,0.1239,790.3,0.253,0.04,4,66.2
b64_resume,1290,3000,120597,0.3045,0.1259,817.5,0.223,0.03,5,66.4
b64_resume,1300,3000,121260,0.2953,0.1100,772.1,0.229,0.03,6,66.3
